tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Black River,MUS.2_1,27234,2033778.68,"{1: 26329, 2: 905}",0,26329,905,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Flacq,MUS.3_1,46147,618445.11,{1: 46147},0,46147,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Grand Port,MUS.4_1,40682,1105818.41,{1: 40682},0,40682,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Moka,MUS.5_1,26220,896990.24,{1: 26220},0,26220,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Pamplemousses,MUS.6_1,52094,1385321.73,{1: 52094},0,52094,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Plaines Wilhems,MUS.7_1,144447,1093678.72,{1: 144447},0,144447,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Port Louis,MUS.8_1,45141,842397.14,{1: 45141},0,45141,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Mauritius,MUS,Rivière du Rempart,MUS.9_1,37298,454257.42,{1: 37298},0,37298,0,0,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,46326,120263195.2,"{2: 1688, 3: 44638}",0,0,1688,44638,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,108897,160919974.2,"{2: 9734, 3: 99163}",0,0,9734,99163,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,42975,76757363.41,"{2: 33019, 3: 9956}",0,0,33019,9956,0,0
2024,SH052024,BELAL,2024-01-10 06:00,2024-01-19 00:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,91748,198993004.29,"{2: 82717, 3: 9031}",0,0,82717,9031,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Mauritius,MUS,Rodriguez,MUS.10_1,13182,759294.15,{1: 13182},0,13182,0,0,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Mauritius,MUS,Black River,MUS.2_1,204,0.03,{0: 204},204,0,0,0,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,1662,202.5,"{0: 1657, 1: 5}",1657,5,0,0,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,7380,387.83,{0: 7380},7380,0,0,0,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,27196,10662.5,"{0: 26865, 1: 331}",26865,331,0,0,0,0
2025,SH022025,BHEKI,2024-11-13 00:00,2024-11-22 18:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,84075,22701.75,"{0: 83393, 1: 682}",83393,682,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Comoros,COM,Mwali,COM.1_1,98341,2930992.79,"{1: 22469, 2: 64527, 3: 11345}",0,22469,64527,11345,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Comoros,COM,Njazídja,COM.2_1,77379,4850.0,"{0: 69040, 1: 8339}",69040,8339,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Comoros,COM,Nzwani,COM.3_1,13396,12948.06,{1: 13396},0,13396,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Madagascar,MDG,Antsiranana,MDG.2_1,180268,2538160.27,"{0: 102136, 1: 35026, 2: 40711, 3: 2395}",102136,35026,40711,2395,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,1342,0.11,{0: 1342},1342,0,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mozambique,MOZ,Tete,MOZ.10_1,19290,35.86,{0: 19290},19290,0,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mozambique,MOZ,Zambezia,MOZ.11_1,200087,2197.73,"{0: 198236, 1: 1851}",198236,1851,0,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,472266,181733001.54,"{0: 69657, 1: 68092, 2: 101331, 3: 185378, 4: 47808}",69657,68092,101331,185378,47808,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mozambique,MOZ,Nampula,MOZ.7_1,1289605,308704008.22,"{0: 254043, 1: 540119, 2: 209913, 3: 210912, 4: 74618}",254043,540119,209913,210912,74618,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mozambique,MOZ,Nassa,MOZ.8_1,216188,698852.32,"{0: 65903, 1: 139732, 2: 10553}",65903,139732,10553,0,0,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mauritius,MUS,Agalega Islands,MUS.1_1,122,9756631.78,{4: 122},0,0,0,0,122,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Koungou,MYT.10_1,7159,711439817.72,{4: 7159},0,0,0,0,7159,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,M'tsangamouji,MYT.11_1,2251,137505632.44,"{3: 19, 4: 2232}",0,0,0,19,2232,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Mamoudzou,MYT.12_1,13285,2117909889.29,{4: 13285},0,0,0,0,13285,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Mtsamboro,MYT.13_1,3313,116216978.14,{4: 3313},0,0,0,0,3313,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Ouangani,MYT.14_1,1874,34288000.79,"{3: 1573, 4: 301}",0,0,0,1573,301,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Pamandzi,MYT.15_1,2500,144898277.48,{4: 2500},0,0,0,0,2500,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Sada,MYT.16_1,2464,81172039.8,{4: 2464},0,0,0,0,2464,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Tsingoni,MYT.17_1,2392,71079735.03,"{3: 480, 4: 1912}",0,0,0,480,1912,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Acoua,MYT.1_1,2017,82825667.55,{4: 2017},0,0,0,0,2017,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Bandraboua,MYT.2_1,3856,309807955.9,"{3: 18, 4: 3838}",0,0,0,18,3838,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Bandrele,MYT.3_1,3722,1008620662.11,{4: 3722},0,0,0,0,3722,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Boueni,MYT.4_1,2685,144641539.73,{4: 2685},0,0,0,0,2685,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Chiconi,MYT.5_1,2213,42921748.5,"{3: 929, 4: 1284}",0,0,0,929,1284,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Chirongui,MYT.6_1,2880,141033800.71,{4: 2880},0,0,0,0,2880,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Dembeni,MYT.7_1,2683,287393812.12,"{3: 53, 4: 2630}",0,0,0,53,2630,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Dzaoudzi,MYT.8_1,6475,269787009.48,{4: 6475},0,0,0,0,6475,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Mayotte,MYT,Kani-Keli,MYT.9_1,3311,156024390.65,{4: 3311},0,0,0,0,3311,0
2025,SH042025,CHIDO,2024-12-05 06:00,2024-12-15 06:00,JTWC,Seychelles,SYC,Outer Islands,SYC.20_1,68,838.57,{1: 68},0,68,0,0,0,0
