tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,331226,139779.78,"{0: 259271, 1: 66964, 2: 4991}"
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,5228105,20824602.72,"{0: 2213306, 1: 1948929, 2: 928052, 3: 137818}"
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,1569844,971543.3,"{0: 1070073, 1: 449884, 2: 49887}"
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,3676313,192717910.32,"{0: 101198, 1: 324667, 2: 1316016, 3: 1760437, 4: 173995}"
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,2908353,1288203.03,"{0: 1313452, 1: 1594833, 2: 68}"
2019,SH032019,ALCIDE,2018-11-07 00:00,2018-11-15 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,25,28.74,{0: 25}
2019,SH032019,ALCIDE,2018-11-07 00:00,2018-11-15 00:00,OFCL,Mauritius,MUS,Agalega Islands,MUS.1_1,262,81490.28,{3: 262}
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,742484,245359.7,"{0: 519438, 1: 220317, 2: 2729}"
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,28,0.18,{0: 28}
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,49904,16068.56,"{0: 30153, 1: 19751}"
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,1293303,13228401.1,"{0: 359652, 1: 591404, 2: 208115, 3: 133392, 4: 740}"
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,677631,3315365.34,"{0: 82834, 1: 410126, 2: 170696, 3: 13975}"
2020,SH022020,BELNA,2019-12-05 00:00,2019-12-11 06:00,OFCL,Seychelles,SYC,Outer Islands,SYC.20_1,73,188919.97,"{0: 26, 3: 47}"
