tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Soanierana-Ivongo,MDG,,152313.0,,215319.02,,"{1: 147969, 2: 4344}",,0.0,,147969.0,,4344.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Toamasina II,MDG,,296620.0,,723789.96,,"{1: 251321, 2: 45299}",,0.0,,251321.0,,45299.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Vavatenina,MDG,,175464.0,,667949.13,,"{1: 141667, 2: 33797}",,0.0,,141667.0,,33797.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Antanambao-Manampotsy,MDG,,5653.0,,0.04,,{0: 5653},,5653.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Mahanoro,MDG,,6049.0,,0.42,,{0: 6049},,6049.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Marolambo,MDG,,792.0,,0.0,,{0: 792},,792.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Toamasina I,MDG,,338283.0,,601692.19,,"{1: 235952, 2: 102331}",,0.0,,235952.0,,102331.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Vatomandry,MDG,,48750.0,,158.21,,{0: 48750},,48750.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Vohibinany,MDG,,161150.0,,27857.24,,"{0: 92601, 1: 68549}",,92601.0,,68549.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Betsiboka,MDG,Maevatanana,MDG,,21061.0,,22.6,,{0: 21061},,21061.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Betsiboka,MDG,Tsaratanana,MDG,,104053.0,,16795.43,,"{0: 70506, 1: 33547}",,70506.0,,33547.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Boeny,MDG,Ambatoboeny,MDG,,4735.0,,0.01,,{0: 4735},,4735.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Bongolava,MDG,Fenoarivobe,MDG,,44109.0,,6.23,,{0: 44109},,44109.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Bongolava,MDG,Tsiroanomandidy,MDG,,492.0,,0.0,,{0: 492},,492.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Diana,MDG,Ambanja,MDG,,977.0,,0.01,,{0: 977},,977.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Diana,MDG,Ambilobe,MDG,,1422.0,,0.02,,{0: 1422},,1422.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Haute Matsiatra,MDG,Ambalavao,MDG,,104.0,,0.0,,{0: 104},,104.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Itasy,MDG,Arivonimamo,MDG,,145089.0,,158.26,,{0: 145089},,145089.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Itasy,MDG,Miarinarivo,MDG,,72859.0,,22.95,,{0: 72859},,72859.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Itasy,MDG,Soavinandriana,MDG,,10449.0,,0.05,,{0: 10449},,10449.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Sava,MDG,Andapa,MDG,,56913.0,,18.2,,{0: 56913},,56913.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Sava,MDG,Antalaha,MDG,,178475.0,,15332.57,,"{0: 154895, 1: 23580}",,154895.0,,23580.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Sava,MDG,Sambava,MDG,,1046.0,,0.11,,{0: 1046},,1046.0,,0.0,,0.0,,0.0,,0.0,,0.0
