tc_season,atcf_id,storm_name,adm0_name,adm0_code,adm1_name,adm1_code,jtwc_start_time_15as,jtwc_start_time_30as,jtwc_end_time_15as,jtwc_end_time_30as,tech_15as,tech_30as,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH121980,NONAME,Mauritius,MUS,Riviere Du Rempart,MUS,,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,123738.0,,59144.92,,"{0: 27320, 1: 96418}",,27320.0,,96418.0,,0.0,,0.0,,0.0,,0.0
1980,SH121980,NONAME,Mauritius,MUS,Rodriguez,MUS.10_1,1980-02-01 12:00,,1980-02-07 00:00,,OFCL,,44652.0,,1276077.56,,"{1: 34334, 2: 10318}",,0.0,,34334.0,,10318.0,,0.0,,0.0,,0.0,
1980,SH121980,NONAME,Mauritius,MUS,Savanne,MUS.12_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,70087.0,60507.0,274048.99,423226.73,{1: 70087},{1: 60507},0.0,0.0,70087.0,60507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Black River,MUS.2_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,94560.0,72490.0,110521.65,126356.07,"{0: 2137, 1: 92423}","{0: 75, 1: 72415}",2137.0,75.0,92423.0,72415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Flacq,MUS.3_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,140810.0,148203.0,806461.4,208581.59,"{0: 9530, 1: 131280}","{0: 18293, 1: 129910}",9530.0,18293.0,131280.0,129910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Grand Port,MUS.4_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,113523.0,117962.0,1665145.23,440467.31,"{0: 3, 1: 113520}","{0: 1014, 1: 116948}",3.0,1014.0,113520.0,116948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Moka,MUS.5_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,88800.0,144916.0,115667.83,122166.67,"{0: 10777, 1: 78023}","{0: 8439, 1: 136477}",10777.0,8439.0,78023.0,136477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Pamplemousses,MUS.6_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,148742.0,165109.0,122041.67,167698.64,"{0: 16730, 1: 132012}","{0: 16443, 1: 148666}",16730.0,16443.0,132012.0,148666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Plaines Wilhems,MUS.7_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,365517.0,294342.0,212409.33,40636.84,"{0: 28522, 1: 336995}","{0: 10979, 1: 283363}",28522.0,10979.0,336995.0,283363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH121980,NONAME,Mauritius,MUS,Port Louis,MUS.8_1,1980-02-01 12:00,1980-02-01 12:00,1980-02-07 00:00,1980-02-07 00:00,OFCL,OFCL,111040.0,100326.0,23353.4,8205.18,"{0: 54593, 1: 56447}","{0: 21192, 1: 79134}",54593.0,21192.0,56447.0,79134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
